alpha,sharpe,turnover,fitness,returns,drawdown,margin,longCount,shortCount,weight,sub_univese,universe,delay,decay,neutralization,truncation,score,code
"-group_rank(-ts_corr(zscore(group_neutralize((mdl77_2gdna_vnicw / est_capex), sector)), divide(fnd6_newa1v1300_gdwl, fnd6_cptmfmq_saleq), 30), market)",1.44,0.0819,1.17,0.0822,0.0963,0.002006,2539,581,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,163.0,Y3l0kQl
"-group_rank(-ts_corr(zscore(group_neutralize((mdl77_2gdna_vnicw / est_capex), sector)), divide(fnd6_newa1v1300_gdwl, fnd6_newa2v1300_sale), 30), market)",1.29,0.0431,1.1,0.0902,0.1499,0.004181,2691,421,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-283.0,13Gdnqm
"-group_rank(-ts_corr(zscore(group_neutralize((mdl77_2gdna_vnicw / est_capex), sector)), divide(fnd6_newa1v1300_gdwl, fnd6_cptnewqv1300_saleq), 30), market)",1.46,0.0817,1.19,0.0825,0.0948,0.002018,2545,575,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,163.0,mnKb6Vp
"-group_rank(-ts_corr(zscore(group_neutralize((mdl77_2gdna_vnicw / est_capex), sector)), divide(goodwill, sales), 30), market)",1.34,0.0784,1.01,0.0708,0.0936,0.001805,2523,593,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,159.0,2VGLmgb
"-group_rank(-ts_corr(zscore(group_neutralize((mdl77_2gdna_vnicw / est_capex), sector)), divide(fnd6_acqgdwl, sales), 30), market)",0.61,0.0257,0.28,0.0267,0.1074,0.002076,1151,1960,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-125.0,66G9QYJ
"-group_rank(-ts_corr(zscore(group_neutralize((mdl77_2gdna_vnicw / capex), sector)), divide(fnd6_newa1v1300_gdwl, sales), 30), market)",1.41,0.0814,1.12,0.0792,0.1019,0.001944,2529,588,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,163.0,amREqQR
"-group_rank(-ts_corr(zscore(group_neutralize((mdl77_2gdna_vnicw / est_capex), sector)), divide(fnd6_newqv1300_gdwlq, sales), 30), market)",1.34,0.0784,1.01,0.0708,0.0936,0.001805,2523,593,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,159.0,ojPgMRk
"-group_rank(-ts_corr(zscore(group_neutralize((mdl77_2gdna_vnicw / anl4_capex_std), sector)), divide(fnd6_newa1v1300_gdwl, sales), 30), market)",1.83,0.0566,1.61,0.0973,0.075,0.00344,2676,437,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-61.0,lwg30K7
"-group_rank(-ts_corr(zscore(group_neutralize((mdl77_2gdna_vnicw / anl4_median_capexp), sector)), divide(fnd6_newa1v1300_gdwl, sales), 30), market)",1.45,0.0816,1.17,0.082,0.0953,0.00201,2544,575,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,163.0,NEKROXw
"-group_rank(-ts_corr(zscore(group_neutralize((mdl77_2gdna_vnicw / anl4_capex_mean), sector)), divide(fnd6_newa1v1300_gdwl, sales), 30), market)",1.46,0.0817,1.19,0.0825,0.0948,0.002019,2545,575,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,163.0,Od6G5W7
"-group_rank(-ts_corr(zscore(group_neutralize((mdl77_2gdna_vnicw / anl4_capex_value), sector)), divide(fnd6_newa1v1300_gdwl, sales), 30), market)",1.6,0.0763,1.32,0.0848,0.0805,0.002222,2567,550,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,163.0,0ZGpXWk
"-group_rank(-ts_corr(zscore(group_neutralize((mdl77_2gdna_vnicw / anl4_capex_high), sector)), divide(fnd6_newa1v1300_gdwl, sales), 30), market)",1.46,0.0817,1.19,0.0824,0.0938,0.002016,2541,579,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,163.0,MvgG3Lk
"-group_rank(-ts_corr(zscore(group_neutralize((mdl77_2gdna_vnicw / anl4_capex_number), sector)), divide(fnd6_newa1v1300_gdwl, sales), 30), market)",1.52,0.081,1.26,0.0855,0.0901,0.00211,2538,581,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,163.0,2VGpmVx
"-group_rank(-ts_corr(zscore(group_neutralize((mdl77_2gdna_vnicw / fnd6_mfma1_capx), sector)), divide(fnd6_newa1v1300_gdwl, sales), 30), market)",1.42,0.0816,1.13,0.0798,0.1011,0.001955,2541,578,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,87.0,b0xjp9R
"-group_rank(-ts_corr(zscore(group_neutralize((mdl77_2gdna_vnicw / fnd6_newa1v1300_capx), sector)), divide(fnd6_newa1v1300_gdwl, sales), 30), market)",1.42,0.0812,1.13,0.0794,0.1,0.001957,2530,590,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,87.0,95GXp0o
"-group_rank(-ts_corr(zscore(group_neutralize((mdl77_2mqf_wcast / est_capex), sector)), divide(fnd6_newa1v1300_gdwl, sales), 30), market)",0.44,0.1151,0.2,0.0247,0.1323,0.000429,2323,800,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,240.0,KAVOkep
"multiply(group_neutralize(reverse(ts_decay_linear(mdl77_2gdna_skew90cortn, 10)), subindustry), group_neutralize(rank(ts_delta(ts_backfill(systematic_risk_last_30_days, 3), 10)), subindustry))",0.74,0.2895,0.23,0.0289,0.063,0.000199,570,574,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-199.0,QRWY7P5
"multiply(group_neutralize(reverse(ts_decay_linear(mdl77_2gdna_skew90drtn, 10)), subindustry), group_neutralize(rank(ts_delta(ts_backfill(systematic_risk_last_30_days, 3), 10)), subindustry))",0.78,0.2898,0.26,0.0318,0.0529,0.00022,571,572,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-199.0,b0x8jgM
"multiply(group_neutralize(reverse(ts_decay_linear(mdl77_2pricemomentumfactor_skew90cortn, 10)), subindustry), group_neutralize(rank(ts_delta(ts_backfill(systematic_risk_last_30_days, 3), 10)), subindustry))",-1.13,0.3023,-0.41,-0.0395,0.2091,-0.000261,1353,1345,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-274.0,EnmVvb9
"multiply(group_neutralize(reverse(ts_decay_linear(mdl77_2pricemomentumfactor_skew90drtn, 10)), subindustry), group_neutralize(rank(ts_delta(ts_backfill(systematic_risk_last_30_days, 3), 10)), subindustry))",-1.0,0.3029,-0.35,-0.0368,0.1978,-0.000243,1351,1348,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-274.0,QRWYAGw
"multiply(group_neutralize(reverse(ts_decay_linear(mdl77_opricemomentumfactor_skew90cortn, 10)), subindustry), group_neutralize(rank(ts_delta(ts_backfill(systematic_risk_last_30_days, 3), 10)), subindustry))",-1.11,0.302,-0.4,-0.0388,0.2062,-0.000257,1358,1349,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-274.0,dJ9K6ow
"multiply(group_neutralize(reverse(ts_decay_linear(mdl77_opricemomentumfactor_skew90drtn, 10)), subindustry), group_neutralize(rank(ts_delta(ts_backfill(systematic_risk_last_30_days, 3), 10)), subindustry))",-0.98,0.3026,-0.34,-0.036,0.1949,-0.000238,1356,1353,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-274.0,95GEOor
"multiply(group_neutralize(reverse(ts_decay_linear(mdl77_pricemomentumfactor_skew90cortn, 10)), subindustry), group_neutralize(rank(ts_delta(ts_backfill(systematic_risk_last_30_days, 3), 10)), subindustry))",-1.13,0.3023,-0.41,-0.0395,0.2091,-0.000261,1353,1345,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-274.0,AXLVMdW
"multiply(group_neutralize(reverse(ts_decay_linear(mdl77_pricemomentumfactor_skew90drtn, 10)), subindustry), group_neutralize(rank(ts_delta(ts_backfill(systematic_risk_last_30_days, 3), 10)), subindustry))",-1.0,0.3029,-0.35,-0.0368,0.1978,-0.000243,1351,1348,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-274.0,Od6Aa37
"multiply(group_neutralize(reverse(ts_decay_linear(returns, 10)), subindustry), group_neutralize(rank(ts_delta(ts_backfill(unsystematic_risk_last_360_days, 3), 10)), subindustry))",0.45,0.4527,0.15,0.0494,0.1672,0.000218,1125,1517,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-415.0,GjQWJZo
"multiply(group_neutralize(reverse(ts_decay_linear(returns, 10)), subindustry), group_neutralize(rank(ts_delta(ts_backfill(unsystematic_risk_last_60_days, 3), 10)), subindustry))",0.47,0.4148,0.17,0.0515,0.2166,0.000248,1295,1449,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-430.0,ra0Rl9o
"multiply(group_neutralize(reverse(ts_decay_linear(returns, 10)), subindustry), group_neutralize(rank(ts_delta(ts_backfill(systematic_risk_last_360_days, 3), 10)), subindustry))",0.46,0.4465,0.14,0.0427,0.1857,0.000191,1144,1498,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-335.0,Ja3eOzj
"multiply(group_neutralize(reverse(ts_decay_linear(returns, 10)), subindustry), group_neutralize(rank(ts_delta(ts_backfill(unsystematic_risk_last_30_days, 3), 10)), subindustry))",0.73,0.4142,0.32,0.0779,0.2834,0.000376,1326,1424,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-338.0,b0x6zbm
"multiply(group_neutralize(reverse(ts_decay_linear(returns, 10)), subindustry), group_neutralize(rank(ts_delta(ts_backfill(systematic_risk_last_90_days, 3), 10)), subindustry))",0.64,0.4109,0.25,0.0613,0.1117,0.000298,1258,1478,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-176.0,AXLxj0g
"multiply(group_neutralize(reverse(ts_decay_linear(returns, 10)), subindustry), group_neutralize(rank(ts_delta(ts_backfill(unsystematic_risk_last_90_days, 3), 10)), subindustry))",0.41,0.4156,0.14,0.0455,0.2353,0.000219,1261,1474,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-430.0,13GWEZk
"multiply(group_neutralize(reverse(ts_decay_linear(returns, 10)), subindustry), group_neutralize(rank(ts_delta(ts_backfill(systematic_risk_last_60_days, 3), 10)), subindustry))",0.94,0.4099,0.43,0.0869,0.087,0.000424,1278,1466,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-199.0,v7YAaaG
"multiply(group_neutralize(reverse(ts_decay_linear(returns, 10)), subindustry), group_neutralize(rank(ts_delta(ts_backfill(mdl77_2priceanalystmodel_srjdaksr_apq, 3), 10)), subindustry))",0.13,0.342,0.03,0.0136,0.2085,8e-05,1920,937,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,,nG6aWjq
"multiply(group_neutralize(reverse(ts_decay_linear(returns, 10)), subindustry), group_neutralize(rank(ts_delta(ts_backfill(mdl77_priceanalystmodel_srjdaksr_apq, 3), 10)), subindustry))",0.1,0.3418,0.02,0.0102,0.2141,6e-05,1918,938,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,,KAVgbQl
"rank(ts_rank(historical_volatility_60, 30))",0.73,0.2221,0.3,0.0366,0.0745,0.000329,1450,1463,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-130.0,eMNpPWp
"rank(ts_rank(historical_volatility_120, 30))",0.09,0.2286,0.01,0.0051,0.1464,4.5e-05,1458,1456,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,,OdRYj3q
"rank(ts_rank(historical_volatility_180, 30))",0.32,0.2269,0.09,0.0184,0.08,0.000162,1463,1450,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-147.0,VQZ9QJA
"rank(ts_rank(historical_volatility_20, 30))",0.7,0.2413,0.27,0.0349,0.0743,0.000289,1452,1462,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-280.0,13ObQnX
"rank(ts_rank(historical_volatility_30, 30))",0.32,0.2253,0.09,0.0166,0.0773,0.000147,1456,1458,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-232.0,z7g6pVG
"rank(ts_rank(historical_volatility_90, 30))",0.87,0.227,0.41,0.0501,0.0786,0.000441,1453,1460,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-57.0,13ObvmJ
"rank(ts_rank(historical_volatility_150, 30))",-0.56,0.2266,-0.21,-0.0326,0.2465,-0.000287,1463,1450,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-243.0,9581RnK
"rank(ts_rank(implied_volatility_put_10, 30))",1.02,0.393,0.36,0.0497,0.0961,0.000253,1387,1423,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-441.0,VQZjpJ5
"rank(ts_rank(implied_volatility_put_60, 30))",1.42,0.3607,0.63,0.0715,0.0427,0.000397,1407,1404,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-410.0,dJYVxzj
"rank(ts_rank(implied_volatility_put_270, 30))",1.32,0.358,0.55,0.0626,0.0454,0.00035,1407,1404,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-452.0,NELmzep
"rank(ts_rank(implied_volatility_put_30, 30))",1.47,0.3604,0.67,0.0739,0.0712,0.00041,1400,1411,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-410.0,9581kMo
"rank(ts_rank(implied_volatility_call_10, 30))",1.05,0.395,0.39,0.0547,0.0783,0.000277,1394,1417,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-455.0,v7ZMb0A
"rank(ts_rank(implied_volatility_call_270, 30))",1.37,0.3666,0.58,0.0662,0.0407,0.000361,1402,1408,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-465.0,Y38GKaJ
"rank(ts_rank(implied_volatility_call_30, 30))",1.49,0.3612,0.69,0.0775,0.0604,0.000429,1404,1406,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-406.0,kpv25KL
"rank(ts_rank(implied_volatility_call_1080, 30))",1.35,0.3754,0.55,0.0617,0.049,0.000329,1400,1410,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-424.0,NELvop7
"rank(ts_rank(implied_volatility_put_360, 30))",1.27,0.3596,0.52,0.0595,0.0432,0.000331,1407,1404,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-456.0,KAvj7qz
"rank(ts_rank(implied_volatility_put_1080, 30))",1.24,0.3664,0.48,0.0555,0.0449,0.000303,1407,1404,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-427.0,OdRErPd
"rank(ts_rank(implied_volatility_call_180, 30))",1.42,0.3633,0.63,0.0709,0.0476,0.00039,1403,1408,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-452.0,JaoZ78E
"rank(ts_rank(implied_volatility_call_60, 30))",1.36,0.3632,0.6,0.0699,0.0496,0.000385,1408,1403,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-452.0,Y38GYql
"rank(ts_rank(implied_volatility_put_120, 30))",1.56,0.3575,0.73,0.0781,0.0517,0.000437,1408,1403,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-406.0,nGmM5Gq
"rank(ts_rank(implied_volatility_put_90, 30))",1.59,0.3593,0.75,0.0803,0.0502,0.000447,1408,1403,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-406.0,0Zx0ZqK
"rank(ts_rank(implied_volatility_call_90, 30))",1.54,0.363,0.72,0.0794,0.0537,0.000437,1407,1404,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-448.0,OdRaaZq
"rank(ts_rank(implied_volatility_call_120, 30))",1.5,0.3634,0.69,0.0767,0.0516,0.000422,1405,1406,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-448.0,JaoKKQl
"rank(ts_rank(implied_volatility_put_180, 30))",1.45,0.355,0.65,0.0705,0.0454,0.000397,1407,1404,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-410.0,z7gpooK
"rank(ts_rank(implied_volatility_call_20, 30))",1.3,0.3754,0.55,0.0677,0.0754,0.000361,1399,1411,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-424.0,Rx9WVn0
"rank(ts_rank(implied_volatility_call_150, 30))",1.46,0.3628,0.66,0.0743,0.0455,0.00041,1404,1407,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-452.0,GjXJbkQ
