name,category,scope,definition,description,documentation,level,group,Sharpe_mean,Fitness_mean,rank,Sharpe,Fitness
add,Arithmetic,['REGULAR'],"add(x, y, filter = false), x + y","Add all inputs (at least 2 inputs required). If filter = true, filter all input NaN to 0 before adding",,ALL,Arithmetic_2,0.3558333333333333,0.11916666666666666,2.382469989027366,0.37,0.16
multiply,Arithmetic,['REGULAR'],"multiply(x ,y, ... , filter=false), x * y",Multiply all inputs. At least 2 inputs are required. Filter sets the NaN values to 1,/operators/multiply,ALL,Arithmetic_2,0.3558333333333333,0.11916666666666666,2.4390691275937177,0.42,0.15
sign,Arithmetic,['REGULAR'],sign(x),if input = NaN; return NaN,,ALL,Arithmetic_1,0.5141666666666667,0.18916666666666668,1.2731777322414124,0.41,0.09
subtract,Arithmetic,['REGULAR'],"subtract(x, y, filter=false), x - y","x-y. If filter = true, filter all input NaN to 0 before subtracting",,ALL,Arithmetic_2,0.3558333333333333,0.11916666666666666,2.1307217372791145,0.37,0.13
log,Arithmetic,['REGULAR'],log(x),Natural logarithm. For example: Log(high/low) uses natural logarithm of high/low ratio as stock weights.,,ALL,Arithmetic_1,0.5141666666666667,0.18916666666666668,1.2679513633540151,0.28500000000000003,0.135
max,Arithmetic,['REGULAR'],"max(x, y, ..)",Maximum value of all inputs. At least 2 inputs are required,/operators/max,ALL,Arithmetic_3,0.105,0.045,3.492063492063492,0.18,0.08
abs,Arithmetic,['REGULAR'],abs(x),Absolute value of x,,ALL,Arithmetic_1,0.5141666666666667,0.18916666666666668,1.5320115094353093,0.38,0.15
divide,Arithmetic,['REGULAR'],"divide(x, y), x / y",x / y,,ALL,Arithmetic_2,0.3558333333333333,0.11916666666666666,2.522985211509802,0.42,0.16
min,Arithmetic,['REGULAR'],"min(x, y ..)",Minimum value of all inputs. At least 2 inputs are required,/operators/min,ALL,Arithmetic_3,0.105,0.045,0.5079365079365079,0.03,0.01
signed_power,Arithmetic,['REGULAR'],"signed_power(x, y)",x raised to the power of y such that final result preserves sign of x,/operators/signed_power,ALL,Arithmetic_2,0.3558333333333333,0.11916666666666666,2.10379784150276,0.45,0.1
inverse,Arithmetic,['REGULAR'],inverse(x),1 / x,,ALL,Arithmetic_1,0.5141666666666667,0.18916666666666668,1.098137213602839,0.32,0.09
sqrt,Arithmetic,['REGULAR'],sqrt(x),Square root of x,,ALL,Arithmetic_1,0.5141666666666667,0.18916666666666668,5.494198873331953,1.33,0.55
reverse,Arithmetic,['REGULAR'],reverse(x), - x,,ALL,Arithmetic_1,0.5141666666666667,0.18916666666666668,1.3345233080344712,0.36,0.12
power,Arithmetic,['REGULAR'],"power(x, y)",x ^ y,/operators/power,ALL,Arithmetic_2,0.3558333333333333,0.11916666666666666,0.4209560930872407,0.105,0.015
densify,Arithmetic,['REGULAR'],densify(x),Converts a grouping field of many buckets into lesser number of only available buckets so as to make working with grouping fields computationally efficient,/operators/densify,ALL,Arithmetic_densify,,,,,
or,Logical,['REGULAR'],"or(input1, input2)",Logical OR operator returns true if either or both inputs are true and returns false otherwise,,ALL,Logical_2,0.484375,0.144375,4.606954335986594,1.225,0.3
and,Logical,['REGULAR'],"and(input1, input2)","Logical AND operator, returns true if both operands are true and returns false otherwise",,ALL,Logical_2,0.484375,0.144375,2.0785476888702696,0.47,0.16
not,Logical,['REGULAR'],not(x),"Returns the logical negation of x. If x is true (1), it returns false (0), and if input is false (0), it returns true (1).",,ALL,Logical_1,0.25,0.10250000000000001,1.9268292682926829,0.25,0.095
is_nan,Logical,['REGULAR'],is_nan(input),If (input == NaN) return 1 else return 0,/operators/is_nan,ALL,Logical_1,0.25,0.10250000000000001,2.073170731707317,0.25,0.11
less,Logical,['REGULAR'],input1 < input2,"If input1 < input2 return true, else return false",,ALL,Logical_2,0.484375,0.144375,2.217075827398408,0.47,0.18
equal,Logical,['REGULAR'],input1 == input2,Returns true if both inputs are same and returns false otherwise,,ALL,Logical_2,0.484375,0.144375,0.7695461527719593,0.20500000000000002,0.05
greater,Logical,['REGULAR'],input1 > input2,Logic comparison operators to compares two inputs,,ALL,Logical_2,0.484375,0.144375,2.1684569194246617,0.48,0.17
if_else,Logical,['REGULAR'],"if_else(input1, input2, input 3)",If input1 is true then return input2 else return input3.,/operators/if_else,ALL,Logical_3,0.46,0.17,2.0,0.46,0.17
not_equal,Logical,['REGULAR'],input1!= input2,Returns true if both inputs are NOT the same and returns false otherwise,,ALL,Logical_2,0.484375,0.144375,1.720251361541684,0.33,0.15
less_equal,Logical,['REGULAR'],input1 <= input2,"Returns true if input1 <= input2, return false otherwise",,ALL,Logical_2,0.484375,0.144375,0.6583214634827538,0.235,0.025
greater_equal,Logical,['REGULAR'],input1 >= input2,"Returns true if input1 >= input2, return false otherwise",,ALL,Logical_2,0.484375,0.144375,1.7808462505236697,0.46,0.12
ts_corr,Time Series,['REGULAR'],"ts_corr(x, y, d)",Returns correlation of x and y for the past d days,/operators/ts_corr,ALL,Time_Series_3,0.27,0.375,2.1940740740740736,0.47,0.17
ts_zscore,Time Series,['REGULAR'],"ts_zscore(x, d)","Z-score is a numerical measurement that describes a value's relationship to the mean of a group of values. Z-score is measured in terms of standard deviations from the mean: (x - tsmean(x,d)) / tsstddev(x,d). This operator may help reduce outliers and drawdown.",,ALL,Time_Series_2,0.4826923076923077,0.1980769230769231,1.0280122229528486,0.35,0.06
