name,category,scope,definition,description,documentation,level,group,Sharpe_mean,Fitness_mean,rank,Sharpe,Fitness
add,Arithmetic,['REGULAR'],"add(x, y, filter = false), x + y","Add all inputs (at least 2 inputs required). If filter = true, filter all input NaN to 0 before adding",,ALL,Arithmetic_2,0.35833333333333334,0.11583333333333334,2.0432323908315206,0.33,0.13
multiply,Arithmetic,['REGULAR'],"multiply(x ,y, ... , filter=false), x * y",Multiply all inputs. At least 2 inputs are required. Filter sets the NaN values to 1,/operators/multiply,ALL,Arithmetic_2,0.35833333333333334,0.11583333333333334,2.380726116780994,0.42,0.14
sign,Arithmetic,['REGULAR'],sign(x),if input = NaN; return NaN,,ALL,Arithmetic_1,0.49500000000000005,0.17666666666666667,1.3377167905469791,0.41,0.09
subtract,Arithmetic,['REGULAR'],"subtract(x, y, filter=false), x - y","x-y. If filter = true, filter all input NaN to 0 before subtracting",,ALL,Arithmetic_2,0.35833333333333334,0.11583333333333334,2.04062238581228,0.36,0.12
log,Arithmetic,['REGULAR'],log(x),Natural logarithm. For example: Log(high/low) uses natural logarithm of high/low ratio as stock weights.,,ALL,Arithmetic_1,0.49500000000000005,0.17666666666666667,0.8972746331236897,0.22,0.08
max,Arithmetic,['REGULAR'],"max(x, y, ..)",Maximum value of all inputs. At least 2 inputs are required,/operators/max,ALL,Arithmetic_3,0.2475,0.0625,1.8917171717171717,0.29,0.045
abs,Arithmetic,['REGULAR'],abs(x),Absolute value of x,,ALL,Arithmetic_1,0.49500000000000005,0.17666666666666667,1.5601295978654468,0.38,0.14
divide,Arithmetic,['REGULAR'],"divide(x, y), x / y",x / y,,ALL,Arithmetic_2,0.35833333333333334,0.11583333333333334,2.5254810105404046,0.41,0.16
min,Arithmetic,['REGULAR'],"min(x, y ..)",Minimum value of all inputs. At least 2 inputs are required,/operators/min,ALL,Arithmetic_3,0.2475,0.0625,2.1082828282828285,0.20500000000000002,0.08
signed_power,Arithmetic,['REGULAR'],"signed_power(x, y)",x raised to the power of y such that final result preserves sign of x,/operators/signed_power,ALL,Arithmetic_2,0.35833333333333334,0.11583333333333334,1.8958674920528693,0.37,0.1
inverse,Arithmetic,['REGULAR'],inverse(x),1 / x,,ALL,Arithmetic_1,0.49500000000000005,0.17666666666666667,1.0750905279207166,0.28,0.09
sqrt,Arithmetic,['REGULAR'],sqrt(x),Square root of x,,ALL,Arithmetic_1,0.49500000000000005,0.17666666666666667,5.800076234038499,1.33,0.55
reverse,Arithmetic,['REGULAR'],reverse(x), - x,,ALL,Arithmetic_1,0.49500000000000005,0.17666666666666667,1.329712216504669,0.35,0.11
power,Arithmetic,['REGULAR'],"power(x, y)",x ^ y,/operators/power,ALL,Arithmetic_2,0.35833333333333334,0.11583333333333334,1.1140706039819308,0.26,0.045
densify,Arithmetic,['REGULAR'],densify(x),Converts a grouping field of many buckets into lesser number of only available buckets so as to make working with grouping fields computationally efficient,/operators/densify,ALL,Arithmetic_densify,0.41,0.26,2.0,0.41,0.26
or,Logical,['REGULAR'],"or(input1, input2)",Logical OR operator returns true if either or both inputs are true and returns false otherwise,,ALL,Logical_2,0.48625,0.158125,4.416513407236555,1.225,0.3
and,Logical,['REGULAR'],"and(input1, input2)","Logical AND operator, returns true if both operands are true and returns false otherwise",,ALL,Logical_2,0.48625,0.158125,1.9784386843736348,0.47,0.16
not,Logical,['REGULAR'],not(x),"Returns the logical negation of x. If x is true (1), it returns false (0), and if input is false (0), it returns true (1).",,ALL,Logical_1,0.25,0.10250000000000001,1.9268292682926829,0.25,0.095
is_nan,Logical,['REGULAR'],is_nan(input),If (input == NaN) return 1 else return 0,/operators/is_nan,ALL,Logical_1,0.25,0.10250000000000001,2.073170731707317,0.25,0.11
less,Logical,['REGULAR'],input1 < input2,"If input1 < input2 return true, else return false",,ALL,Logical_2,0.48625,0.158125,2.084355345113141,0.46,0.18
equal,Logical,['REGULAR'],input1 == input2,Returns true if both inputs are same and returns false otherwise,,ALL,Logical_2,0.48625,0.158125,0.8951299064186066,0.22,0.07
